miteorigin,sp,year,bl,sex,origin,bodysize,Species,num,hunum,invnum,intnum,sum,p,vesp,hup,invp,intp,newcomp,totalp
G,ves,2017,92,m,W,4.34,ves,6,0,0,3,9,0.666666667,0.666666667,0,0,0.333333333,1,0.9
G,ves,2017,93,m,W,5.28,ves,3,0,0,6,9,0.333333333,0.333333333,0,0,0.666666667,1,0.9
W,hu,2017,94,m,W,4.47,ves,2,1,0,7,10,0.2,0.2,0.1,0,0.7,0,1
G,hu,2017,95,m,G,5.26,ves,1,2,0,4,7,0.142857143,0.142857143,0.285714286,0,0.571428571,0,0.7
G,inv,2017,96,m,G,4.43,ves,1,0,6,3,10,0.1,0.1,0,0.6,0.3,0,1
G,inv,2017,1,m,T,6.41,hu,2,2,4,1,10,0.2,0.3,0.2,0.4,0.1,0,1
G,inv,2017,2,f,W,7.24,hu,3,3,1,3,7,0.428571429,0,0.428571429,0.142857143,0.428571429,0,0.7
G,inv,2017,3,f,M,6.29,hu,0,0,3,6,10,0,0.1,0,0.3,0.6,0,1
G,inv,2017,4,f,W,7,hu,3,3,0,6,9,0.333333333,0,0.333333333,0,0.666666667,0,0.9
G,inv,2017,5,m,M,6.63,hu,3,3,0,5,8,0.375,0,0.375,0,0.625,0,0.8
G,inv,2017,6,m,G,5.52,hu,0,0,1,5,9,0,0.333333333,0,0.111111111,0.555555556,0,0.9
G,inv,2017,7,f,G,6.97,hu,3,3,0,1,8,0.375,0.5,0.375,0,0.125,0,0.8
G,int,2017,8,m,M,7.52,hu,0,0,0,3,7,0,0.571428571,0,0,0.428571429,0,0.7
G,int,2017,9,f,T,7.07,hu,1,1,0,6,7,0.142857143,0,0.142857143,0,0.857142857,0,0.7
G,int,2017,10,f,M,7.26,hu,0,0,1,4,7,0,0.285714286,0,0.142857143,0.571428571,0,0.7
G,int,2017,12,m,W,6.38,hu,0,0,2,6,10,0,0.2,0,0.2,0.6,0,1
G,int,2017,13,m,G,7.93,hu,3,3,0,4,8,0.375,0.125,0.375,0,0.5,0,0.8
G,inv,2017,14,f,W,7.24,hu,4,4,2,0,10,0.4,0.4,0.4,0.2,0,0,1
G,inv,2017,15,m,T,6.41,hu,0,0,2,2,9,0,0.555555556,0,0.222222222,0.222222222,0,0.9
G,int,2017,16,m,G,5.52,hu,0,0,1,5,10,0,0.4,0,0.1,0.5,0,1
G,int,2017,17,m,W,6.32,hu,0,0,0,5,10,0,0.5,0,0,0.5,0,1
G,int,2017,18,m,M,6.63,hu,2,2,0,2,10,0.2,0.6,0.2,0,0.2,0,1
G,int,2017,19,f,M,6.29,hu,0,0,0,7,10,0,0.3,0,0,0.7,0,1
G,int,2017,20,f,W,7,hu,1,1,1,4,9,0.111111111,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,21,m,W,6.55,hu,6,6,2,1,9,0.666666667,0,0.666666667,0.222222222,0.111111111,1,0.9
G,hu,2017,22,m,G,7.93,hu,5,5,0,2,10,0.5,0.3,0.5,0,0.2,1,1
G,hu,2017,23,m,M,6.21,hu,2,2,0,5,10,0.2,0.3,0.2,0,0.5,1,1
G,hu,2017,24,f,W,5.89,hu,2,2,0,4,10,0.2,0.4,0.2,0,0.4,1,1
G,hu,2017,25,f,M,6.75,hu,1,1,0,5,6,0.166666667,0,0.166666667,0,0.833333333,1,0.6
