wt,bl,beetle,mite,male,female,msize,fsize,mmite,fmite,mitenum,logmitenum,broodsize,broodmass,yield,density,clutchsize
16.44,9,W,W,W10,W24,4.83,4.45,112,27,139,2.146128036,32,4.8862,0.15269375,1.946472019,26
16.58,9,W,C,W07,W34,,,,,,,32,4.6906,0.14658125,1.930036188,28
16.63,9,W,C,W13,W56,,,,,,,32,4.7059,0.147059375,1.924233313,
16.69,9,W,C,W18,W38,,,,,,,21,3.9724,0.189161905,1.258238466,21
16.73,9,G,C,G07,G04,,,,,,,34,5.3336,0.156870588,2.032277346,
16.85,9,W,C,W28,W53,,,,,,,33,4.3207,0.130930303,1.958456973,
17.14,9,G,C,G07,G03,,,,,,,34,4.4045,0.129544118,1.983663944,
17.23,9,W,G,W03,W31,4.62,4.76,102,27,129,2.113943352,23,4.2577,0.185117391,1.334881021,31
17.23,9,W,C,W05,W39,,,,,,,29,4.4904,0.154841379,1.683110853,
17.47,9,G,G,G08,G10,4.87,4.83,100,22,122,2.089905111,37,4.8311,0.13057027,2.117916428,20
17.47,9,G,C,G20,G15,,,,,,,28,4.2406,0.15145,1.602747567,
17.52,9,G,W,G10,G11,4.47,4.32,94,92,186,2.271841607,39,4.7515,0.121833333,2.226027397,25
17.57,9,G,C,G10,G26,,,,,,,40,5.6404,0.14101,2.276607854,
17.68,9,W,C,W20,W37,,,,,,,43,5.1925,0.120755814,2.432126697,
17.73,9,G,C,G14,G07,,,,,,,32,4.4805,0.140015625,1.804850536,17
17.8,9,G,W,G25,G21,4.81,4.78,49,114,163,2.214843848,30,4.989,0.1663,1.685393258,13
17.88,9,W,C,W04,W29,,,,,,,46,5.4811,0.119154348,2.572706935,
17.9,9,W,C,W26,W33,,,,,,,31,4.5647,0.147248387,1.731843575,
17.96,9,G,G,G09,G05,5.14,4.21,132,86,218,2.340444115,37,5.1401,0.138921622,2.06013363,27
19.2,9,G,C,G04,G08,,,,,,,44,5.8401,0.132729545,2.291666667,52
19.77,10,W,W,W24,W21,5.29,4.95,100,191,291,2.465382851,9,1.8445,0.204944444,0.455235205,4
17.28,10,W,W,W9,W4,5.02,5.36,6,160,166,2.222716471,10,2.0605,0.20605,0.578703704,9
16.5,10,W,W,W4,W1,4.86,5.3,84,28,112,2.053078443,12,2.1641,0.180341667,0.727272727,0
20.75,10,W,C,W20,W2,,,,,,,20,4.4289,0.221445,0.963855422,31
