wt,bl,beetle,mite,male,female,msize,fsize,mmite,fmite,mitenum,logmitenum,broodsize,broodmass,yield,density,clutchsize
17.61,1,W,W,,,4.75,5.33,16,38,54,1.740362689,23,3.1617,0.137465217,1.306076093,18
17.63,1,W,W,,,5.31,5.06,94,54,148,2.173186268,24,3.4667,0.144445833,1.361315939,27
17.89,1,W,W,,,4.53,5.21,70,70,140,2.149219113,22,4.0208,0.182763636,1.229737283,23
17.86,1,W,W,,,5.48,5.19,61,61,122,2.089905111,12,2.2204,0.185033333,0.671892497,8
16.42,1,G,W,,,4.67,5.29,36,10,46,1.672097858,18,2.9768,0.165377778,1.096224117,15
16.56,1,G,W,,,5.09,4.96,61,27,88,1.949390007,19,3.2756,0.1724,1.147342995,3
16.35,1,G,W,,,5.08,5.01,88,87,175,2.245512668,20,2.7471,0.137355,1.22324159,15
16.69,1,G,W,,,5.43,4.97,95,19,114,2.06069784,24,3.3636,0.14015,1.437986818,7
14.85,1,G,W,,,5.24,5.02,41,47,88,1.949390007,11,2.0356,0.185054545,0.740740741,9
17.46,1,G,W,,,5.23,4.7,96,28,124,2.096910013,17,2.9681,0.174594118,0.973654066,2
19.88,1,G,C,,,5.13,5.22,,,,,27,3.5499,0.131477778,1.358148893,0
18.75,1,G,W,,,4.28,5.3,48,57,105,2.025305865,29,4.4935,0.154948276,1.546666667,26
18.36,1,G,W,,,4.98,4.99,21,37,58,1.770852012,14,3.1201,0.222864286,0.762527233,4
15.13,1,G,W,,,5.61,5.54,52,30,82,1.919078092,23,3.0079,0.130778261,1.520158625,26
16.63,1,G,W,,,5.07,5.15,79,29,108,2.037426498,21,3.1819,0.151519048,1.262778112,7
16.1,1,G,W,,,5.48,4.81,86,73,159,2.204119983,9,1.6809,0.186766667,0.559006211,10
16.64,1,G,W,,,5.41,5.2,58,14,72,1.86332286,26,3.449,0.132653846,1.5625,8
16.71,1,G,W,,,4.86,,34,,34,1.544068044,14,2.7596,0.197114286,0.837821664,16
15.93,1,G,W,,,4.86,4.75,56,35,91,1.963787827,5,1.1508,0.23016,0.313873195,3
14.86,1,G,W,,,4.82,5.16,89,54,143,2.158362492,6,1.2105,0.20175,0.403768506,2
16.76,1,G,W,,,5.23,4.84,75,86,161,2.209515015,4,0.721,0.18025,0.238663484,6
16.03,1,G,W,,,4.4,5.28,39,39,78,1.897627091,11,2.3145,0.210409091,0.68621335,9
16.22,1,G,W,,,5.19,5.24,52,29,81,1.913813852,24,3.4214,0.142558333,1.479654747,22
16.64,1,G,W,,,5.1,4.63,96,62,158,2.201397124,20,4.0577,0.202885,1.201923077,10
15.43,1,G,W,,,5.11,4.77,88,87,175,2.245512668,12,2.2217,0.185141667,0.777705768,5
15.93,1,G,W,,,4.7,4.59,38,21,59,1.77815125,38,4.3111,0.11345,2.385436284,12
15.66,1,G,W,,,4.14,5.72,32,49,81,1.913813852,13,2.1679,0.166761538,0.830140485,3
17.57,1,G,W,,,5.18,4.47,62,40,102,2.012837225,18,2.3325,0.129583333,1.024473534,8
20.56,1,G,W,,,4.33,4.66,87,79,166,2.222716471,28,4.4541,0.159075,1.361867704,11
17.34,1,W,G,,,4.95,5.06,73,25,98,1.995635195,23,3.3928,0.147513043,1.326412918,21
18.34,1,W,G,,,4.69,4.73,17,27,44,1.653212514,19,3.6355,0.191342105,1.035986914,9
18.63,1,W,G,,,4.84,4.94,48,30,78,1.897627091,14,2.8771,0.205507143,0.751476114,12
18.62,1,W,G,,,4.72,5.36,48,39,87,1.944482672,17,3.5167,0.206864706,0.912996778,15
17.34,1,W,G,,,4.87,4.8,55,25,80,1.908485019,17,2.2401,0.131770588,0.980392157,0
18.34,1,W,G,,,5.14,,85,31,116,2.068185862,33,5.2166,0.158078788,1.799345692,16
