tr,wt,mfamily,ffamily,mmite,fmite,mitenum,broodsize,broodmass,larvaldensity,yield
mix,16.43,25,19,27,8,35,16,3.3392,0.973828363,0.2087
mix,18.38,41,31,20,32,52,20,4.0448,1.088139282,0.20224
mix,17.82,19,18,9,51,60,16,3.6171,0.897867565,0.22606875
mix,19.63,19,15,58,8,66,19,4.2259,0.967906266,0.222415789
mix,16.82,19,40,24,33,57,0,0,,
mix,19.81,31,23,9,90,99,18,4.0366,0.908632004,0.224255556
mix,19.15,36,11,46,7,53,21,4.3615,1.096605744,0.207690476
mix,18.12,34,33,1,9,10,18,3.9887,0.993377483,0.221594444
mix,18.24,36,11,13,7,20,29,5.4681,1.589912281,0.188555172
mix,18.62,11,15,35,12,47,25,5.0604,1.34264232,0.202416
mix,19.37,26,20,12,10,22,32,5.8058,1.652039236,0.18143125
mix,18.6,5,28,1,0,1,36,5.6734,1.935483871,0.157594444
